"","event","map","player.1","player.2","trade","opp","pos.x","pos.y","gun","round_win","game_win","offdef","round_time","round","first_kill","team","id","site"
"26","kill","Ardennes Forest","TEMP","SILLY",0,"EVIL GENIUSES",537,671,"PPSh-41",1,1,"def",13000,6,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"27","kill","Ardennes Forest","AQUA","APATHY",0,"EVIL GENIUSES",447,476,"STG-44",1,1,"def",20850,6,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","M"
"28","kill","Ardennes Forest","ASSAULT","TEMP",1,"ECHO FOX",467,763,"STG-44",0,0,"off",22500,6,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"29","kill","Ardennes Forest","SAINTS","ASSAULT",1,"EVIL GENIUSES",376,757,"PPSh-41",1,1,"def",27450,6,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"30","kill","Ardennes Forest","ACHES","SAINTS",0,"ECHO FOX",409,664,"STG-44",0,0,"off",29050,6,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"31","kill","Ardennes Forest","AQUA","ACHES",2,"EVIL GENIUSES",455,695,"STG-44",1,1,"def",37300,6,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"32","kill","Ardennes Forest","APATHY","SAINTS",0,"ECHO FOX",465,553,"PPSh-41",1,0,"def",12500,7,1,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","M"
"33","kill","Ardennes Forest","ACHES","AQUA",0,"ECHO FOX",603,738,"STG-44",1,0,"def",14500,7,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","B"
"34","kill","Ardennes Forest","TEMP","ASSAULT",0,"EVIL GENIUSES",609,389,"PPSh-41",0,1,"off",18700,7,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"35","kill","Ardennes Forest","SILLY","TEMP",0,"ECHO FOX",642,422,"PPSh-41",1,0,"def",41200,7,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"36","kill","Ardennes Forest","SILLY","FACCENTO",2,"ECHO FOX",661,421,"PPSh-41",1,0,"def",42950,7,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"37","kill","Ardennes Forest","TEMP","APATHY",0,"EVIL GENIUSES",466,530,"PPSh-41",1,1,"def",10250,8,1,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","M"
"38","kill","Ardennes Forest","TEMP","ASSAULT",0,"EVIL GENIUSES",441,548,"PPSh-41",1,1,"def",13600,8,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","M"
"39","kill","Ardennes Forest","SILLY","AQUA",0,"ECHO FOX",712,306,"PPSh-41",0,0,"off",15650,8,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"40","kill","Ardennes Forest","ACHES","TEMP",0,"ECHO FOX",315,321,"STG-44",0,0,"off",18800,8,0,"EVIL GENIUSES","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"41","kill","Ardennes Forest","FACCENTO","SILLY",0,"EVIL GENIUSES",620,325,"STG-44",1,1,"def",18850,8,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"42","kill","Ardennes Forest","FACCENTO","ACHES",2,"EVIL GENIUSES",610,305,"STG-44",1,1,"def",20850,8,0,"ECHO FOX","ad2c7b96-466f-5105-9be1-6b03afe0423f","A"
"43","kill","Ardennes Forest","DENZ","ZED",0,"UNILAD",443,704,"STG-44",1,1,"off",8900,1,1,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"44","kill","Ardennes Forest","FIGHTA","ALEX",0,"UNILAD",511,607,"PPSh-41",1,1,"off",10500,1,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"45","kill","Ardennes Forest","SEANY","BUZZO",1,"MINDFREAK",522,562,"STG-44",0,0,"def",18200,1,0,"UNILAD","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","M"
"46","kill","Ardennes Forest","SHOCKZ","SEANY",0,"UNILAD",409,554,"STG-44",1,1,"off",19750,1,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","M"
"47","kill","Ardennes Forest","DENZ","WUSKIN",2,"UNILAD",483,753,"STG-44",1,1,"off",49600,1,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"48","kill","Ardennes Forest","SHOCKZ","ALEX",0,"UNILAD",548,643,"STG-44",1,1,"def",9500,2,1,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"49","kill","Ardennes Forest","BUZZO","ZED",0,"UNILAD",577,750,"STG-44",1,1,"def",11300,2,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"50","kill","Ardennes Forest","SEANY","SHOCKZ",1,"MINDFREAK",478,616,"STG-44",0,0,"off",16650,2,0,"UNILAD","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"51","kill","Ardennes Forest","FIGHTA","SEANY",0,"UNILAD",557,498,"PPSh-41",1,1,"def",19150,2,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","M"
"52","kill","Ardennes Forest","DENZ","WUSKIN",2,"UNILAD",573,716,"STG-44",1,1,"def",51650,2,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"53","kill","Ardennes Forest","SEANY","FIGHTA",0,"MINDFREAK",674,428,"STG-44",0,0,"def",24550,3,1,"UNILAD","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","A"
"54","kill","Ardennes Forest","ALEX","BUZZO",1,"MINDFREAK",612,473,"PPSh-41",0,0,"def",28600,3,0,"UNILAD","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","M"
"55","kill","Ardennes Forest","DENZ","ALEX",0,"UNILAD",690,285,"STG-44",1,1,"off",32400,3,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","A"
"56","kill","Ardennes Forest","SHOCKZ","SEANY",0,"UNILAD",538,362,"STG-44",1,1,"off",33050,3,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","A"
"57","kill","Ardennes Forest","DENZ","WUSKIN",0,"UNILAD",696,310,"STG-44",1,1,"off",74700,3,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","A"
"58","kill","Ardennes Forest","ZED","SHOCKZ",1,"MINDFREAK",717,316,"PPSh-41",0,0,"def",81300,3,0,"UNILAD","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","A"
"59","kill","Ardennes Forest","DENZ","ZED",2,"UNILAD",692,361,"STG-44",1,1,"off",83700,3,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","A"
"60","kill","Ardennes Forest","SHOCKZ","SEANY",1,"UNILAD",718,317,"STG-44",1,1,"def",22750,4,1,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","A"
"61","kill","Ardennes Forest","ALEX","SHOCKZ",0,"MINDFREAK",571,240,"PPSh-41",0,0,"off",24200,4,0,"UNILAD","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","A"
"62","kill","Ardennes Forest","BUZZO","ALEX",0,"UNILAD",721,315,"STG-44",1,1,"def",29650,4,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","A"
"63","kill","Ardennes Forest","BUZZO","ZED",0,"UNILAD",619,262,"STG-44",1,1,"def",70550,4,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","A"
"64","kill","Ardennes Forest","BUZZO","WUSKIN",2,"UNILAD",600,266,"STG-44",1,1,"def",71400,4,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","A"
"65","kill","Ardennes Forest","FIGHTA","WUSKIN",0,"UNILAD",515,614,"PPSh-41",1,1,"off",18000,5,1,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"66","kill","Ardennes Forest","BUZZO","ALEX",0,"UNILAD",520,761,"STG-44",1,1,"off",20350,5,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"67","kill","Ardennes Forest","SHOCKZ","SEANY",0,"UNILAD",239,538,"STG-44",1,1,"off",22000,5,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","M"
"68","kill","Ardennes Forest","BUZZO","ZED",2,"UNILAD",592,746,"STG-44",1,1,"off",30200,5,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"69","kill","Ardennes Forest","SHOCKZ","ZED",1,"UNILAD",597,627,"STG-44",1,1,"def",19600,6,1,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"70","kill","Ardennes Forest","SEANY","SHOCKZ",1,"MINDFREAK",607,670,"STG-44",0,0,"off",20300,6,0,"UNILAD","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"71","kill","Ardennes Forest","DENZ","SEANY",0,"UNILAD",784,592,"STG-44",1,1,"def",22000,6,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"72","kill","Ardennes Forest","DENZ","ALEX",0,"UNILAD",784,592,"STG-44",1,1,"def",22600,6,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","B"
"73","kill","Ardennes Forest","FIGHTA","WUSKIN",2,"UNILAD",153,435,"PPSh-41",1,1,"def",24200,6,0,"MINDFREAK","92d1d0a9-ecc8-5713-a5bd-c394c21eff45","M"
"74","kill","Sainte Marie du Mont","FELONY","REPLAYS",0,"FAZE CLAN",443,491,"PPSh-41",1,1,"off",12400,1,1,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"75","kill","Sainte Marie du Mont","ZOOMAA","PRESTINNI",0,"EUNITED",447,444,"STG-44",0,0,"def",14750,1,0,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"76","kill","Sainte Marie du Mont","ARCITYS","ATTACH",0,"FAZE CLAN",310,445,"STG-44",1,1,"off",15100,1,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","A"
"77","kill","Sainte Marie du Mont","FELONY","ZOOMAA",0,"FAZE CLAN",487,505,"PPSh-41",1,1,"off",23550,1,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"78","kill","Sainte Marie du Mont","FELONY","PRIESTAH",2,"FAZE CLAN",464,475,"PPSh-41",1,1,"off",34550,1,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"79","kill","Sainte Marie du Mont","ARCITYS","ZOOMAA",0,"FAZE CLAN",660,610,"STG-44",1,1,"def",11800,2,1,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"80","kill","Sainte Marie du Mont","FELONY","PRIESTAH",1,"FAZE CLAN",216,554,"PPSh-41",1,1,"def",51950,2,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","A"
"81","kill","Sainte Marie du Mont","ATTACH","FELONY",0,"EUNITED",181,506,"STG-44",0,0,"off",53750,2,0,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","A"
"82","kill","Sainte Marie du Mont","CLAYSTER","ATTACH",1,"FAZE CLAN",444,489,"Springfield",1,1,"def",75400,2,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"83","kill","Sainte Marie du Mont","REPLAYS","CLAYSTER",1,"EUNITED",390,532,"BAR",0,0,"off",76800,2,0,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"84","kill","Sainte Marie du Mont","ARCITYS","REPLAYS",2,"FAZE CLAN",459,518,"STG-44",1,1,"def",77750,2,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"85","kill","Sainte Marie du Mont","REPLAYS","FELONY",0,"EUNITED",446,666,"BAR",0,0,"def",24150,3,1,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"86","kill","Sainte Marie du Mont","PRESTINNI","ZOOMAA",0,"FAZE CLAN",637,353,"STG-44",1,1,"off",38100,3,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"87","kill","Sainte Marie du Mont","CLAYSTER","ATTACH",0,"FAZE CLAN",634,328,"Springfield",1,1,"off",71050,3,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"88","kill","Sainte Marie du Mont","PRIESTAH","PRESTINNI",1,"EUNITED",545,536,"PPSh-41",0,0,"def",74650,3,0,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"89","kill","Sainte Marie du Mont","ARCITYS","PRIESTAH",0,"FAZE CLAN",672,501,"STG-44",1,1,"off",77300,3,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"90","kill","Sainte Marie du Mont","REPLAYS","ARCITYS",1,"EUNITED",544,492,"BAR",0,0,"def",84450,3,0,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"91","kill","Sainte Marie du Mont","CLAYSTER","REPLAYS",2,"FAZE CLAN",601,455,"Springfield",1,1,"off",85200,3,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"92","kill","Sainte Marie du Mont","ZOOMAA","CLAYSTER",0,"EUNITED",426,512,"STG-44",1,0,"off",37900,4,1,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"93","kill","Sainte Marie du Mont","ARCITYS","ATTACH",0,"FAZE CLAN",582,482,"STG-44",0,1,"def",43000,4,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"94","kill","Sainte Marie du Mont","PRIESTAH","FELONY",0,"EUNITED",252,413,"PPSh-41",1,0,"off",43150,4,0,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","A"
"95","kill","Sainte Marie du Mont","ARCITYS","PRIESTAH",0,"FAZE CLAN",644,721,"STG-44",0,1,"def",56250,4,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"96","kill","Sainte Marie du Mont","ZOOMAA","PRESTINNI",0,"EUNITED",296,662,"STG-44",1,0,"off",84100,4,0,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","A"
"97","kill","Sainte Marie du Mont","ARCITYS","REPLAYS",0,"FAZE CLAN",230,422,"STG-44",0,1,"def",84600,4,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","A"
"98","kill","Sainte Marie du Mont","ARCITYS","ZOOMAA",2,"FAZE CLAN",296,495,"STG-44",0,1,"def",92500,4,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","A"
"99","kill","Sainte Marie du Mont","PRIESTAH","PRESTINNI",1,"EUNITED",612,540,"PPSh-41",0,0,"def",10800,5,1,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"100","kill","Sainte Marie du Mont","FELONY","PRIESTAH",1,"FAZE CLAN",599,449,"PPSh-41",1,1,"off",11650,5,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"101","kill","Sainte Marie du Mont","ZOOMAA","FELONY",0,"EUNITED",663,608,"STG-44",0,0,"def",15150,5,0,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"102","kill","Sainte Marie du Mont","CLAYSTER","REPLAYS",0,"FAZE CLAN",605,430,"Springfield",1,1,"off",29250,5,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"103","kill","Sainte Marie du Mont","ATTACH","CLAYSTER",0,"EUNITED",390,403,"STG-44",0,0,"def",60250,5,0,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"104","kill","Sainte Marie du Mont","ARCITYS","ATTACH",0,"FAZE CLAN",418,326,"STG-44",1,1,"off",68100,5,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"105","kill","Sainte Marie du Mont","ARCITYS","ZOOMAA",2,"FAZE CLAN",474,379,"STG-44",1,1,"off",93800,5,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"106","kill","Sainte Marie du Mont","ARCITYS","ZOOMAA",0,"FAZE CLAN",462,477,"STG-44",1,1,"def",12800,6,1,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"107","kill","Sainte Marie du Mont","CLAYSTER","REPLAYS",0,"FAZE CLAN",663,650,"Springfield",1,1,"def",21050,6,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"108","kill","Sainte Marie du Mont","FELONY","ATTACH",0,"FAZE CLAN",529,363,"PPSh-41",1,1,"def",22400,6,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"109","kill","Sainte Marie du Mont","ARCITYS","PRESTINNI",0,"EUNITED",475,565,"STG-44",1,1,"def",22850,6,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"110","kill","Sainte Marie du Mont","PRIESTAH","CLAYSTER",1,"EUNITED",598,508,"PPSh-41",0,0,"off",25150,6,0,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"111","kill","Sainte Marie du Mont","ARCITYS","PRIESTAH",2,"FAZE CLAN",544,501,"STG-44",1,1,"def",30100,6,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"112","kill","Sainte Marie du Mont","FELONY","PRIESTAH",0,"FAZE CLAN",654,389,"PPSh-41",1,1,"off",10050,7,1,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"113","kill","Sainte Marie du Mont","PRESTINNI","ZOOMAA",0,"FAZE CLAN",535,382,"STG-44",1,1,"off",12450,7,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","M"
"114","kill","Sainte Marie du Mont","ATTACH","PRESTINNI",0,"EUNITED",389,400,"STG-44",0,0,"def",22100,7,0,"FAZE CLAN","1ca1f5e1-631b-5697-83f3-1bf235ce615f","A"
"115","kill","Sainte Marie du Mont","ARCITYS","ATTACH",0,"FAZE CLAN",621,461,"STG-44",1,1,"off",27700,7,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"116","kill","Sainte Marie du Mont","ARCITYS","REPLAYS",2,"FAZE CLAN",625,461,"STG-44",1,1,"off",31850,7,0,"EUNITED","1ca1f5e1-631b-5697-83f3-1bf235ce615f","B"
"117","kill","USS Texas","RATED","SWIFTAZOR",1,"TAINTED MINDS",568,579,"PPSh-41",1,0,"off",16250,1,1,"RED RESERVE","26c89777-c434-52dd-b61a-3b6171d56f22","B"
"118","kill","USS Texas","NIMBLE","RATED",1,"RED RESERVE",553,538,"PPSh-41",0,1,"def",17750,1,0,"TAINTED MINDS","26c89777-c434-52dd-b61a-3b6171d56f22","B"
"119","kill","USS Texas","JOEE","NIMBLE",0,"TAINTED MINDS",591,534,"PPSh-41",1,0,"off",19050,1,0,"RED RESERVE","26c89777-c434-52dd-b61a-3b6171d56f22","B"
"120","kill","USS Texas","SWIFTY","JOEE",0,"RED RESERVE",451,554,"Springfield",0,1,"def",30450,1,0,"TAINTED MINDS","26c89777-c434-52dd-b61a-3b6171d56f22","B"
"121","kill","USS Texas","SKRAPZ","SWIFTY",0,"TAINTED MINDS",520,501,"Springfield",1,0,"off",42150,1,0,"RED RESERVE","26c89777-c434-52dd-b61a-3b6171d56f22","A"
"122","kill","USS Texas","DAMAGE","SKRAPZ",2,"RED RESERVE",576,569,"STG-44",0,1,"def",50850,1,0,"TAINTED MINDS","26c89777-c434-52dd-b61a-3b6171d56f22","B"
"123","kill","USS Texas","NIMBLE","SKRAPZ",1,"RED RESERVE",555,431,"PPSh-41",0,1,"off",24600,2,1,"TAINTED MINDS","26c89777-c434-52dd-b61a-3b6171d56f22","A"
"124","kill","USS Texas","RATED","NIMBLE",0,"TAINTED MINDS",525,475,"PPSh-41",1,0,"def",25750,2,0,"RED RESERVE","26c89777-c434-52dd-b61a-3b6171d56f22","A"
"125","kill","USS Texas","ZER0","SWIFTAZOR",0,"TAINTED MINDS",317,511,"Springfield",1,0,"def",31400,2,0,"RED RESERVE","26c89777-c434-52dd-b61a-3b6171d56f22","B"
"126","kill","USS Texas","RATED","SWIFTY",0,"TAINTED MINDS",552,460,"PPSh-41",1,0,"def",54050,2,0,"RED RESERVE","26c89777-c434-52dd-b61a-3b6171d56f22","A"
"127","kill","USS Texas","JOEE","DAMAGE",2,"TAINTED MINDS",493,465,"PPSh-41",1,0,"def",63100,2,0,"RED RESERVE","26c89777-c434-52dd-b61a-3b6171d56f22","A"
"128","kill","USS Texas","ZER0","SWIFTY",0,"TAINTED MINDS",799,487,"Springfield",0,0,"off",6650,3,1,"RED RESERVE","26c89777-c434-52dd-b61a-3b6171d56f22","A"
"129","kill","USS Texas","SWIFTAZOR","RATED",0,"RED RESERVE",524,512,"PPSh-41",1,1,"def",46450,3,0,"TAINTED MINDS","26c89777-c434-52dd-b61a-3b6171d56f22","B"
"130","kill","USS Texas","NIMBLE","JOEE",0,"RED RESERVE",701,476,"PPSh-41",1,1,"def",74850,3,0,"TAINTED MINDS","26c89777-c434-52dd-b61a-3b6171d56f22","A"
"131","kill","USS Texas","NIMBLE","ZER0",0,"RED RESERVE",700,453,"PPSh-41",1,1,"def",76650,3,0,"TAINTED MINDS","26c89777-c434-52dd-b61a-3b6171d56f22","A"
"132","kill","USS Texas","NIMBLE","SKRAPZ",2,"RED RESERVE",696,473,"PPSh-41",1,1,"def",85650,3,0,"TAINTED MINDS","26c89777-c434-52dd-b61a-3b6171d56f22","A"
"133","kill","USS Texas","ZER0","SWIFTY",0,"TAINTED MINDS",488,432,"Springfield",0,0,"def",53850,4,1,"RED RESERVE","26c89777-c434-52dd-b61a-3b6171d56f22","A"
